node,community,delta
49,1,-0.00046517337164315493
49,2,-0.0005462786584894594
49,3,-0.00043171289455858086
113,1,-0.0008527875396092943
113,3,-0.0009739908438314064
63,1,-0.0005814667145539437
63,2,-0.0006828483231118244
63,3,-0.000539641118198226
67,0,0.00024577084119457545
67,1,-0.0006977600574647324
67,2,-0.0008194179877341893
65,0,-0.00032824000618291425
65,1,-0.0005814667145539437
65,2,-0.0006828483231118244
219,3,0.00039743409058878637
172,0,-0.0004269847836661954
172,1,-0.0008721546092261809
126,1,-0.0005426416501107014
126,3,-0.0008686994512663608
212,1,-0.0003488800287323662
212,2,-0.00040970899386709464
212,3,-0.0003237846709189356
111,0,-0.0002137651674615045
53,3,-0.0007581343965521161
38,0,-0.00011502038997822343
38,1,-0.00015502748214456203
38,3,-0.000539641118198226
59,1,-0.0004845404412600415
59,2,-0.0008194179877341893
59,3,-0.0004343497256331804
23,0,-0.000705852401107469
19,0,-0.0005908320111292456
19,3,-0.0009713540127568069
13,0,-0.0007221280136024113
11,0,-0.0005908320111292456
11,3,-0.0009713540127568069
21,0,-0.0005089083973977205
15,0,-0.0005089083973977205
117,0,-0.0006081987261378154
37,0,-0.000853424016075577
69,1,-0.0005232745804938148
69,2,-0.0009392574138142671
69,3,-0.0008660626201917612
68,1,-0.0008527875396092943
68,2,-0.000862607462231941
68,3,-0.0009739908438314064
211,0,-0.0003938880074194971
211,1,-0.0006977600574647324
211,2,-0.00039297875532480763
205,0,-0.0002463163924513891
205,1,-0.0008140534003755212
205,2,-0.0005295484199471724
207,0,-0.0006564800123658285
207,3,-0.0002264037715776888
206,0,-0.0005908320111292456
206,3,-0.00033169516414273436
204,0,-0.0005089083973977205
204,2,-0.0006493878460272503
79,0,-0.00009929032874009475
202,0,-0.0007877760148389942
202,3,-0.0004422602188569792
182,0,-0.0005908320111292456
181,0,-0.00032824000618291425
181,1,-0.0005814667145539437
181,2,-0.00046962870690713356
180,0,-0.00032824000618291425
180,1,-0.0005814667145539437
180,2,-0.00046962870690713356
179,0,-0.0007877760148389942
178,0,-0.0007221280136024113
175,0,-0.00006564800123658285
175,1,-0.00011629334291078873
175,2,-0.00013656966462236486
174,0,-0.00006564800123658285
174,1,-0.00011629334291078873
174,2,-0.00013656966462236486
