node,community,delta
223,2,-0.00032723982887875584
223,4,-0.00034851632789449036
223,5,-0.000037643036720145843
222,0,-0.0006764835584489977
222,1,-0.0011920294961379517
222,2,-0.00041098194679965993
222,4,-0.00000818326885220562
222,5,-0.0000418255963557176
203,0,-0.0007441319142938975
203,1,-0.001311232445751747
203,2,-0.00006828483231118248
203,3,-0.00029468860388887124
203,5,-0.00004600815599128937
214,0,-0.000608835202604098
214,1,-0.0010728265465241565
214,2,-0.0007536790612881375
214,3,0.000049645164370047483
214,5,-0.000037643036720145843
209,0,-0.00047353849091429843
209,1,-0.0008344206472965662
209,3,-0.0002456799159851065
209,4,-0.00038952359736498746
209,5,-0.000029277917449002322
208,0,-0.00040589013506939865
208,1,-0.000715217697682771
208,3,-0.0003933424561626834
208,4,-0.00009019780779319977
208,5,-0.000025095357813430563
197,0,-0.0016192870554325538
197,1,-0.00356435913639236
197,3,-0.0025891862648378576
197,4,-0.0022551270452489305
197,5,-0.00019239774323630098
127,0,-0.00022949522869963326
127,2,-0.0009134346543250849
127,3,-0.0008356936002291315
127,4,-0.0009512595414641685
127,5,-0.00006692095416914817
213,1,-0.0001443892326366947
213,2,-0.0002512263537627125
213,3,-0.0001966712280813417
213,4,-0.0002583185201012907
213,5,-0.000012547678906715282
173,0,-0.0010823736935183965
173,1,-0.0008411491127972687
173,2,-0.000700215038120394
173,4,-0.0007380399252594777
173,5,-0.00006692095416914817
170,0,-0.00040589013506939865
170,2,-0.00028923309132073414
170,3,-0.00018012283995799257
170,4,-0.0005166370402025814
170,5,-0.000025095357813430563
3,0,-0.000858879528643714
3,2,-0.001591100240497179
3,3,-0.0012455844445151641
3,4,-0.0014227976777701503
3,5,0.00013375098312882737
302,1,-0.00076559026372857
302,2,-0.0008374211792090416
302,3,-0.000015911911657066425
302,4,-0.0006478421174662781
302,5,-0.0000418255963557176
220,0,-0.0007912311727988142
220,1,-0.002145653093048313
220,2,-0.0012941385063715842
220,4,-0.001549911120607744
220,5,-0.00007528607344029169
109,1,-0.0015748246280022369
109,2,-0.0012561317688135625
109,3,-0.00013047767558794522
109,4,-0.0012915926005064534
109,5,-0.0000627383945335764
83,1,-0.001311232445751747
83,2,-0.0009211632971299458
83,3,-0.00029468860388887124
83,4,-0.0009471679070380658
83,5,-0.00004600815599128937
56,1,-0.0015748246280022369
56,2,-0.0012561317688135625
56,3,-0.0009833561404067085
56,4,-0.0012915926005064534
56,5,-0.0000627383945335764
112,1,-0.0013364187287746466
112,2,-0.001088647532971754
112,3,-0.0006390223721477898
112,4,-0.0011193802537722596
112,5,-0.000054373275262432886
48,1,-0.0004768117984551807
48,2,-0.00033496847168361664
48,3,-0.0002622283041084556
48,4,-0.00034442469346838755
48,5,-0.000016730238542287042
108,1,-0.0019072471938207229
108,2,-0.0013398738867344666
108,3,-0.0010489132164338223
108,4,-0.0011644791576688595
108,5,-0.00006692095416914817
66,1,-0.000978809879933261
66,2,-0.0008374211792090416
66,3,-0.000655570760271139
66,4,-0.0008610617336709689
66,5,-0.0000418255963557176
64,1,-0.00023840589922759036
64,2,-0.00016748423584180832
64,3,-0.0001311141520542278
64,4,-0.00017221234673419378
64,5,-0.000008365119271143521
60,1,-0.001148385395592855
60,2,-0.0012561317688135625
60,3,-0.0007701365242020177
60,4,-0.00022549451948299928
60,5,-0.0000627383945335764
44,1,-0.0006463873141147748
44,2,-0.0007536790612881375
44,3,-0.0005900136842440251
44,4,-0.000774955560303872
44,5,-0.000037643036720145843
20,0,-0.0005309122980892067
20,2,-0.0009211632971299458
20,3,-0.0007211278362982529
20,4,-0.000733948290833375
20,5,0.00016721146021340147
14,0,-0.0004632639422443069
14,2,-0.0008374211792090416
14,3,-0.000655570760271139
14,4,-0.0008610617336709689
14,5,-0.0000418255963557176
12,0,-0.0008117802701387973
12,2,-0.00100490541505085
12,3,-0.0007866849123253668
12,4,-0.000820054464200472
12,5,-0.00005019071562686113
42,0,-0.00017212142152472475
42,2,-0.0007916857988461591
42,3,-0.0005734652961206759
42,4,-0.0006068348479957811
42,5,-0.00005019071562686113
32,0,-0.000608835202604098
32,2,-0.0007536790612881375
32,3,-0.0005900136842440251
32,4,-0.0005617359440991812
32,5,-0.000037643036720145843
39,0,-0.0012073958565382045
39,2,-0.0017585844763389875
39,3,-0.0013766985965693917
39,4,-0.001595010024504344
39,5,-0.00008783375234700697
169,0,-0.00038534103772941566
169,2,-0.0005784661826414683
169,3,-0.0005734652961206759
169,4,-0.0006068348479957811
169,5,-0.00005019071562686113
183,0,-0.0003956155863994071
183,2,-0.0007536790612881375
183,3,-0.0005900136842440251
183,4,0.00007792290451489128
183,5,-0.000037643036720145843
